天气	tiānqì	weather
比	bǐ	compared with (comparison marker); to compare
下雪	xià xuě	to snow
约	yuē	to make an appointment
公园	gōngyuán	park
滑冰	huá bīng	to ice skate
会	huì	will
冷	lěng	cold
刚才	gāngcái	just now, a moment ago
网上	wǎng shàng	on the Internet
预报	yùbào	to forecast; forecast
更	gèng	even more
不但...，而且...	búdàn.., érqiě...	not only..., but also...
暖和	nuǎnhuo	warm
办	bàn	to handle, to do
那么	nàme	(indicating degree) so, such
好玩儿	hǎowánr	fun, amusing, interesting
非常	fēicháng	very, extremely, exceedingly
糟糕	zāogāo	in a terrible mess, how terrible
下雨	xià yǔ	to rain
又	yòu	again
面试	miànshì	to interview; interview (for a job or school admission)
回去	huí qu	to go back, to return
冬天	dōngtiān	winter
夏天	xiàtiān	summer
热	rè	hot
春天	chūntiān	spring
秋天	qiūtiān	autumn, fall
舒服	shūfu	comfortable
加州	Jiāzhōu	California
饭馆	fànguǎn	restaurant
饭馆儿	fànguǎnr	restaurant (儿化)
位子	wèizi	seat
服务员	fúwùyuán	waiter, attendant
服务	fúwù	to serve, to provide service
桌子	zhuōzi	table
点菜	diǎn cài	to order food
盘	pán	plate, dish
饺子	jiǎozi	dumplings
素	sù	vegetarian (lit. plain)
家常	jiācháng	home-style
豆腐	dòufu	tofu, bean curd
放	fàng	to put, to place
肉	ròu	meat
碗	wǎn	bowl
酸辣汤	suānlàtāng	hot-and-sour soup
酸	suān	sour
辣	là	spicy, hot
汤	tāng	soup
味精	wèijīng	monosodium glutamate (MSG)
盐	yán	salt
小白菜	xiǎo báicài	baby bok choy
刚	gāng	just
买完	mǎi wán	to be sold out
完	wán	finished
青菜	qīngcài	green, leafy vegetable
冰茶	bīngchá	iced tea
冰	bīng	ice
渴	kě	thirsty
些	xiē	(measure word for an indefinite amount), some
够	gòu	enough
饿	è	hungry
上菜	shàng cài	to serve food
师傅	shīfu	master worker
好吃	hǎochī	delicious
糖醋鱼	tángcùyú	sweet-and-sour fish
糖	táng	sugar
醋	cù	vinegar
甜	tián	sweet
酸	suān	sour
极	jí	extremely
红烧	hóngshāo	to braise in soy sauce (to red-cook)
牛肉	niúròu	beef
牛	niú	cow, ox
鱼	yú	fish
凉拌	liángbàn	(of food) cold "blended," cold tossed
黄瓜	huánggua	cucumber
米饭	mǐfàn	cooked rice
忘	wàng	to forget
带	dài	to bring, to take, to carry, to come with
饭卡	fànkǎ	meal card
错	cuò	wrong
清楚	qīngchu	clear
没关系	méi guānxi	it doesn't matter
上海	Shànghǎi	Shanghai
上	shàng	to go to [colloq.]
中心	zhōngxīn	center
听说	tīngshuō	to be told, to hear of
运动	yùndòng	sports
场	cháng	field
旁边	pángbiān	side
远	yuǎn	far
离	lí	away from
近	jìn	near
活动	huódòng	activity
中间	zhōngjiān	middle
书店	shūdiàn	bookstore
地方	dìfang	place
里边	lǐbian	inside
中国城	Zhōngguóchéng	Chinatown
城	chéng	town, city
过	guo	(particle used after a verb to indicate a past experience)
地图	dìtú	map
拿	ná	to take, to get
次	cì	(measure word for frequency)
从	cóng	from
一直	yìzhí	straight, continuously
往	wǎng	towards
南	nán	south
路口	lùkǒu	intersection
西	xī	west
拐	guǎi	to turn
哎	āi	(exclamatory particle to express surprise or dissatisfaction)
东	dōng	east
北	běi	north
前	qián	forward, ahead
红绿灯	hónglǜdēng	traffic light
灯	dēng	light
右	yòu	right
左	zuǒ	left
前面	qiánmiàn	ahead, in front of
谷歌	Gǔgē	Google
日文	Rìwén	Japanese (language)
东京	Dōngjīng	Tokyo
日本	Rìběn	Japan
过	guò	to live (a life), to observe (a holiday), to celebrate (a festival), to pass
舞会	wǔhuì	dance party, ball
表姐	biǎojiě	older female cousin
中学	zhōngxué	middle school, secondary school
送	sòng	to give as a gift
礼物	lǐwù	gift, present
本	běn	(measure word for books)
饮料	yǐnliào	beverage
水果	shuǐguǒ	fruit
把	bǎ	(measure word for things with handles for handfuls of things)
花	huā	flower
爱	ài	to love, to like, to be fond of
苹果	píngguǒ	apple
梨	lí	pear
西瓜	xīgua	watermelon
住	zhù	to live (in a certain place)
重	zhòng	heavy, serious
接	jiē	to catch, to meet, to welcome
楼	lóu	multi-story building, floor (of a multi-level building)
王红	Wáng Hóng	a personal name
钟头	zhōngtóu	hour
以为	yǐwéi	to assume erroneously
聪明	cōngming	smart, bright, clever
用功	yònggōng	hardworking, diligent, studious
暑期	shǔqī	summer term
班	bān	class
长	zhǎng	to grow, to appear
可爱	kě'ài	cute, lovable
去年	qùnián	last year
属	shǔ	to belong to
狗	gǒu	dog
脸	liǎn	face
圆	yuán	round
眼睛	yǎnjing	eye
鼻子	bízi	nose
嘴	zuǐ	mouth
像	xiàng	to be like, to look like, to take after
长大	zhǎng dà	to grow up
一定	yídìng	certain, definite; certainly, definitely
蛋糕	dàngāo	cake
最	zuì	most, (of superlative degree) -est
海伦	Hǎilún	Helen
汤姆	Tāngmǔ	Tom
病人	bìngrén	patient
病	bìng	illness; to get sick
医院	yīyuàn	hospital
看病	kàn bìng	to see a doctor
肚子	dùzi	belly, abdomen, stomach
疼死	téng sǐ	really painful
疼	téng	aching
死	sǐ	to die; (a complement indicating an extreme degree)
夜里	yè li	at night
好几	hǎo jǐ	quite a few
厕所	cèsuǒ	restroom, toilet
把	bǎ	(indicating disposition, arrangement, or settlement of something)
冰箱	bīngxiāng	refrigerator
发烧	fā shāo	to have a fever
躺下	tǎng xia	to lie down
躺	tǎng	to lie, to recline
检查	jiǎnchá	to examine
吃坏	chī huài	to get sick because of bad food
坏	huài	bad
打针	dǎ zhēn	to get an injection
针	zhēn	needle
药	yào	medicine
片	piàn	(measure word for tablets, slices, etc.)
遍	biàn	(measure word for complete courses of an action or instances of an action)
最好	zuìhǎo	had better
小时	xiǎoshí	hour
办法	bànfǎ	method, way (of doing something)
生病	shēngbìng	to get sick
感冒	gǎnmào	to have a cold
身体	shēntǐ	body, health
痒	yǎng	itchy
过敏	guòmǐn	to be allergic to
药店	yàodiàn	pharmacy
健康	jiànkāng	healthy; health
保险	bǎoxiǎn	insurance; secure
赶快	gǎnkuài	right away, quickly, in a hurry
要不然	yàobùrán	otherwise
越来越	yuè lái yuè	more and more
上次	shàng cì	last time
休息	xiūxi	to take a break, to rest
懒	lǎn	lazy
再说	zàishuō	moreover
乱	luàn	randomly, arbitrarily, messily
同	tóng	same
印象	yìnxiàng	impression
成	chéng	to become
演	yǎn	to show (a film), to perform
费	fèi	to spend, to take (effort)
力气	lìqi	strength, effort
就	jiù	just, only (indicating a small number)
俩	liǎ	(coll.) two
后天	hòutiān	the day after tomorrow
一言为定	yì yán wéi dìng	that settles it, that's settled, it's decided
记得	jìde	to remember
记	jì	to record
想	xiǎng	to think
想起来	xiǎng qi lai	to remember, to recall
号码	hàomǎ	number
搬	bān	to move
打扫	dǎsǎo	to clean up (a room, apartment or house)
扫	sǎo	to sweep
整理	zhěnglǐ	to put in order
房间	fángjiān	room
旅行	lǚxíng	to travel
电	diàn	electricity
吵	chǎo	to quarrel; noisy
连	lián	even
做饭	zuòfàn	to cook, to prepare a meal
报纸	bàozhǐ	newspaper
广告	guǎnggào	advertisement
附近	fùjìn	vicinity, neighborhood, nearby area
套	tào	(measure word for things that come in a set/sets)
公寓	gōngyù	apartment
出租	chūzū	to rent out
走路	zǒu lù	to walk
分钟	fēnzhōng	minute
卧室	wòshì	bedroom
厨房	chúfáng	kitchen
卫生间	wèishēngjiān	bathroom
客厅	kètīng	living room
家具	jiājù	furniture
可能	kěnéng	may; possible
一房一厅	yì fáng yì tīng	one bedroom and one living room
干净	gānjìng	clean
沙发	shāfā	sofa
饭桌	fànzhuō	dining table
椅子	yǐzi	chair
书桌	shūzhuō	desk
书架	shūjià	bookcase, bookshelf
那里	nàli	there
安静	ānjìng	quiet
房租	fángzū	rent
元	yuán	(measure word for the basic Chinese monetary unit), yuan
美元	Měiyuán	American dollar (USD)
人民币	Rénmínbì	renminbi (RMB, Chinese currency)
