开学	kāi xué	(vo) to begin a new semester
新生	xīnshēng	(n) new student
辆	liàng	(measure word for vehicles)
研究生	yánjiūshēng	(n) graduate student
出生	chūshēng	(v) to be born
弓	gōng	(n) bow (for archery)
长	cháng	(adj) long
校外	xiào wài	off campus
校内	xiào nèi	on campus
安全	ānquán	(adj) safe
比较	bǐjiào	(adv/v) relatively, comparatively, rather; to compare
省钱	shěng qián	(vo) to save money, to economize
自由	zìyóu	(adj) free, unconstrained
不见得	bújiànde	not necessarily
好处	hǎochu	(n) advantage, benefit
适应	shìyìng	(v) to adapt, to become accustomed to
生活	shēnghuó	(n/v) (day-to-day) life; to live
搬家	bān jiā	(vo) to move (one's residence)
帮忙	bāng máng	(vo) to help
哎	āi	(excl) (exclamatory particle to express surprise or dissatisfaction or to remind)
拉	là	(v) to leave (something) behind inadvertently (colloq.)
张天明	Zhāng Tiānmíng	(pn) Tianming Zhang (a personal name)
柯林	Kē Lín	(pn) Lin Ke (a personal name)
同屋	tóngwū	(n) roommate
摆	bǎi	(v) to put
被子	bèizi	(n) comforter
毯子	tǎnzi	(n) blanket
衣柜	yīguì	(n) wardrobe
柜子	guìzi	(n) cabinet
挂	guà	(v) to hang
门	mén	(n) door
空	kōng	(adj) empty
空调	kōngtiáo	(n) air conditioning
栋	dòng	(m) (measure word for buildings)
旧	jiù	(adj) old (of things)
恐怕	kǒngpà	(adv) I’m afraid that, I think perhaps, probably
日用品	rìyòngpǐn	(n) daily necessities
文具	wénjù	(n) stationery
洗	xǐ	(v) to wash
层	céng	(m) (measure word for stories of a building)
台	tái	(m) (measure word for machines)
洗衣机	xǐyījī	(n) washing machine
干衣机	gānyījī	(n) clothes dryer
马路	mǎlù	(n) road
一般	yìbān	(adv) generally
真的	zhēn de	(adv) really
着急	zháojí	(v) to worry
餐馆儿	cānguǎnr	(n) restaurant
地道	dìdao	(adj) authentic
过几天	guò jǐ tiān	in a few days
正好	zhènghǎo	(adv) coincidentally
门口	ménkǒu	(n) doorway, entrance
留学生	liúxuéshēng	(n) study-abroad student
菜单	càidān	(n) menu
鸡	jī	(n) chicken
清蒸	qīngzhēng	(v) to steam (food without heavy sauce)
味道	wèidao	(n) taste, flavor (of food)
芥兰	jièlán	(n) Chinese broccoli
嫩	nèn	(adj) tender
香	xiāng	(adj) fragrant, pleasant-smelling
菠菜	bōcài	(n) spinach
叫（菜）	jiào (cài)	(v (o)) to order (food)
新鲜	xīnxian	(adj) fresh
有机	yǒujī	(adj) organic
清淡	qīngdàn	(adj) light in flavor
咸	xián	(adj) salty
油	yóu	(n/adj) oil; oily
