节日	jiérì	(n) holiday, festival
舅舅	jiùjiu	(n) uncle (mother’s brother)
舅妈	jiùmā	(n) aunt (mother’s brother’s wife)
小区	xiǎoqū	(n) residential development, residential complex
环境	huánjìng	(n) environment, surroundings
除夕	chúxī	(n) Chinese New Year’s Eve
年夜饭	niányèfàn	(n) Chinese New Year’s Eve dinner
墙	qiáng	(n) wall
贴	tiē	(v) to paste, to glue
福	fú	(n) blessing, good fortune
倒	dào	(v) to turn upside down, to go backwards
奇怪	qíguài	(adj) strange, weird
意思	yìsi	(n) meaning
以	yǐ	(prep) with [See Grammar 2.]
代	dài	(v) to replace, to substitute
酒	jiǔ	(n) alcohol, liquor
举	jǔ	(v) to lift, to raise
顺利	shùnlì	(adj) smooth, successful, without a hitch
进步	jìnbù	(v/adj) to make progress; progressive
干杯	gān bēi	(vo) to drink a toast (lit. to dry the cup)
成功	chénggōng	(v/adj) to succeed; successful
晚会	wǎnhuì	(n) evening gathering, soiree
剩（下）	shèng (xia)	(vc) to leave a surplus, to be left (over)
浪费	làngfèi	(v/adj) to waste, to squander; wasteful
余	yú	(n/v) surplus; to have a surplus
传统	chuántǒng	(n/adj) tradition; traditional
农历	nónglì	(n) traditional Chinese lunar calendar (lit. agricultural calendar)
初	chū	first, early part of
粽子	zòngzi	(n) sticky-rice dumpling wrapped in bamboo or reed leaves
月饼	yuèbǐng	(n) moon cake
团圆	tuányuán	(v) to reunite (as a family)
正月	zhēngyuè	(n) first month of the lunar year
元宵	yuánxiāo	(n) night of the fifteenth of the first lunar month, sweet dumplings made of sticky-rice flour
嘛	ma	(p) particle used to emphasize the obvious [See Grammar 3.]
计时	jì shí	(vo) to count time
拜年	bài nián	(vo) to wish somebody a happy Chinese New Year, to pay a Chinese New Year call
恭喜	gōngxǐ	(v) to congratulate
发财	fā cái	(vo) to get rich, to make a fortune
红包	hóngbāo	(n) red envelope containing gift money
热闹	rènao	(adj) lively, buzzing with excitement, bustling with activity (of a place or scene)
鞭炮	biānpào	(n) firecracker
春节	Chūnjié	(pn) Spring Festival, Chinese New Year
端午节	Duānwǔjié	(pn) Dragon Boat Festival
中秋节	Zhōngqiūjié	(pn) Mid-Autumn Festival, Moon Festival
感恩节	Gǎn’ēnjié	(pn) Thanksgiving
元宵节	Yuánxiāojié	(pn) Lantern Festival
变化	biànhuà	(v/n) to change; change
末	mò	(n) end
来不及	lái bu jí	(vc) to not have enough time to do something, to be too late to do something
高（速）铁（路）	gāo(sù) tiě(lù)	(n) high-speed rail
表哥	biǎogē	(n) older male cousin with a different surname
街	jiē	(n) street
盖	gài	(v) to build, to construct
骑	qí	(v) to ride
自行车	zìxíngchē	(n) bicycle
上班	shàng bān	(vo) to go to work, to start work, to be on duty
想像	xiǎngxiàng	(v/n) to imagine, to visualize; imagination
要不是	yàobúshì	(conj) if it were not for, but for
游客	yóukè	(n) tourist
老外	lǎowài	(n) foreigner (slang)
哈哈	hā	(ono) sound of laughter
对面	duìmiàn	(n) opposite side
快餐	kuàicān	(n) fast food
服装	fúzhuāng	(n) clothing, apparel
融入	róngrù	(v) to merge into, to meld into
特色	tèsè	(n) distinguishing feature or quality, characteristic
保留	bǎoliú	(v) to remain as before, to retain
建筑	jiànzhù	(n/v) architecture; to build
尝	cháng	(v) to taste
小吃	xiǎochī	(n) small and inexpensive dishes, snacks
不管	bùguǎn	(conj) no matter, regardless of
变	biàn	(v) to change
民以食为天	mín yǐ shí wéi tiān	ordinary people consider food as important as heaven
句	jù	(m) measure word for sentences
从来	cónglái	(adv) from past till present, always, at all times
老百姓	lǎobǎixìng	(n) ordinary people
尽可能	jǐn kěnéng	as much as possible
厦	shà	(n) mansion, tall building
座	zuò	(m) measure word for buildings, mountains, bridges, cities and other large, solid things
声音	shēngyīn	(n) sound, voice
脚步	jiǎobù	(n) footstep
拍	pāi	(v) to take a picture, to shoot a film
咕噜	gūlū	(ono) rumbling sound
法国	Fǎguó	(pn) France
夫子庙	Fūzǐmiào	(pn) Temple of Confucius
美丽	měilì	(adj) beautiful
留（下）	liú (xia)	(vc) to leave behind, to stay behind
深	shēn	(adj) deep, profound, dark (color)
分享	fēnxiǎng	(v) to share (joy, happiness, benefits, etc.) (lit. to divide and enjoy)
报名	bào míng	(vo) to sign up, to register
参加	cānjiā	(v) to participate, to take part, to attend
团	tuán	(n) group, organization
包括	bāokuò	(v) to include, to consist of
交通	jiāotōng	(n) transportation, traffic (lit. to intersect and go through)
门票	ménpiào	(n) admission ticket, admission fee
旅客	lǚkè	(n) passenger, voyager, traveler
硬	yìng	(adj) hard, stiff
卧铺	wòpù	(n) sleeping bunk (on a train)
车厢	chēxiāng	(n) train carriage
软	ruǎn	(adj) soft
关	guān	(v) to close, to turn off
顿	dùn	(m) measure word for meals
盒饭	héfàn	(n) box lunch
面	miàn	(n) noodles
幽默	yōumò	(adj) humorous
省会	shěnghuì	(n) provincial capital
美	měi	(adj) beautiful, good
饮食	yǐnshí	(n) diet, food and drink
风俗	fēngsú	(n) custom
习惯	xíguàn	(n/v) habit; to be accustomed to
游览	yóulǎn	(v/n) to go sightseeing, to tour; excursion
石头	shítou	(n) stone, rock, pebble
树林	shùlín	(n) woods, forest
讲	jiǎng	(v) to speak, to tell
故事	gùshi	(n) story, tale
塔	tǎ	(n) tower, pagoda
古老	gǔlǎo	(adj) ancient, old
纪念品	jìniànpǐn	(n) souvenir, keepsake, memento
千万	qiānwàn	(adv) by all means, absolutely must
河	hé	(n) river
茶馆	cháguǎn	(n) teahouse
灯笼	dēnglong	(n) lantern
房东	fángdōng	(n) landlord
昆明	Kūnmíng	(pn) Kunming (capital of Yunnan Province)
石林	Shílín	(pn) The Stone Forest
大理	Dàlǐ	(pn) Dali
丽江	Lìjiāng	(pn) Lijiang
与	yǔ	(conj/prep) and; with [See Grammar 2.]
夫妻	fūqī	(n) husband and wife, couple
退休	tuìxiū	(v) to retire
博物馆	bówùguǎn	(n) museum
不必	búbì	(adv) need not, do not need to
散步	sàn bù	(vo) to take a walk, to go for a walk
锻炼	duànliàn	(v) to exercise, to work out, to undergo physical training
广场	guǎngchǎng	(n) public square
太极拳	tàijíquán	(n) tai chi (a form of traditional Chinese shadowboxing)
早晨	zǎochen	(n) morning, early morning
成为	chéngwéi	(v) to become, to turn into
出门	chū mén	(vo) to go out, to leave home
瑜伽	yújiā	(n) yoga
动作	dòngzuò	(n) movement, action
树	shù	(n) tree
重视	zhòngshì	(v) to attach importance to
注意	zhùyì	(v/n) to pay attention to; attention
等等	ěng	(p) and so forth, etc.
健身房	jiànshēnfáng	(n) fitness center, gym
等于	děngyú	(v) to equal, to be equivalent to, to amount to
减肥	jiǎn féi	(vo) to lose weight (lit. to reduce fat)
只要	zhǐyào	(conj) as long as, provided
随便	suíbiàn	(adj/vo) casual, careless; to do as one pleases
即使	jíshǐ	(conj) even if
营养	yíngyǎng	(n) nutrition, nourishment
饱	bǎo	(adj) full, satiated (after a meal)
科学	kēxué	(n/adj) science; scientific
方面	fāngmiàn	(n) aspect, respect
必须	bìxū	(adv) must, have to, be obliged to
吸烟	xī yān	(vo) to smoke a cigarette
熬夜	áo yè	(vo) to stay up late or all night
补充	bǔchōng	(v) to supplement, to replenish
睡眠	shuìmián	(n) sleep
只	zhī	(m) measure word for one of certain paired things and some animals
熊猫	xióngmāo	(n) panda
李文	Lǐ Wén	(pn) Wen Li (a personal name)
平等	píngděng	(adj/n) equal; equality (lit. level and equal)
重男轻女	zhòng nán qīng nǚ	to regard males as superior to females, to privilege men over women
妇女	fùnǚ	(n) women
地位	dìwèi	(n) position, status
情况	qíngkuàng	(n) situation, condition, circumstances
逐渐	zhújiàn	(adv) gradually, little by little
机会	jīhuì	(n) opportunity
改革开放	gǎigé kāifàng	(v/n) to reform and open up; Reform and Opening-Up
以来	yǐlái	(t) since
企业	qǐyè	(n) enterprise, business, company, firm
单位	dānwèi	(n) unit
出现	chūxiàn	(v) to appear, to arise, to emerge
现象	xiànxiàng	(n) phenomenon, appearance
工厂	gōngchǎng	(n) factory
同工同酬	tóng gōng tóng chóu	equal pay for equal work
女性	nǚxìng	(n) female gender, woman
超过	chāoguò	(v) to surpass, to exceed
丈夫	zhàngfu	(n) husband
妻子	qīzi	(n) wife
互相	hùxiāng	(adv) mutually, each other, reciprocally
家务	jiāwù	(n) household chores, household duties
模范	mófàn	(adj/n) exemplary; model, fine example
表现	biǎoxiàn	(v/n) to display, to manifest; performance; manifestation
男子	nánzǐ	(n) man, male
队	duì	(n) team, a row or line of people, (measure word for teams and lines)
讨厌	tǎoyàn	(v/adj) to dislike, to loathe; disgusting, disagreeable
队员	duìyuán	(n) team member
骄傲	jiāo’ào	(adj/n) proud, arrogant, full of oneself; pride
输	shū	(v) to lose, to be defeated
成绩	chéngjì	(n) performance, achievement, result, score, grade
公平	gōngpíng	(adj) fair, just, impartial, equitable
由	yóu	(prep) by
市场	shìchǎng	(n) market
职业	zhíyè	(n) occupation, profession, vocation
薪水	xīnshuǐ	(n) salary, pay, wages
消息	xiāoxi	(n) news, message, information
赢	yíng	(v) to win
冠军	guànjūn	(n) champion, first place in a competition
相信	xiāngxìn	(v) to believe, to trust
比分	bǐfēn	(n) score
乒乓球	pīngpāngqiú	(n) ping pong, table tennis
德国	Déguó	(pn) Germany
西班牙	Xībānyá	(pn) Spain
保护	bǎohù	(v) to protect, to safeguard
节约	jiéyuē	(v) to economize, to save, to conserve
能源	néngyuán	(n) energy, energy source
爬山	pá shān	(vo) to hike in the mountains, to climb a mountain
有益	yǒuyì	(adj) beneficial, useful [See Grammar 4.]
于	yú	(prep) towards, in, on, at, (indicating comparison) [See Grammar 4 and Grammar 5.]
段	duàn	(m) measure word for section, segment, or part
推	tuī	(v) to push, to shove
空气	kōngqì	(n) air, atmosphere
雾霾	wùmái	(n) smog
回收	huíshōu	(v) to recycle
筒	tǒng	(n) thick tube-shaped container
扔	rēng	(v) to throw, to toss, to throw away
瓶装水	píngzhuāng shuǐ	(n) bottled water
地球	dìqiú	(n) the earth, the globe
亮	liàng	(adj) bright, light
太阳	tàiyáng	(n) sun
太阳能	tàiyángnéng	(n) solar energy, solar power
板	bǎn	(n) board, plank, panel
发电	fā diàn	(vo) to generate electricity
国家	guójiā	(n) country, nation
危机	wēijī	(n) crisis
风	fēng	(n) wind
石油	shíyóu	(n) petroleum, oil
煤	méi	(n) coal
规定	guīdìng	(v/n) to regulate, to specify; rules and regulations, provisions
公共场所	gōnggòng chǎngsuǒ	(n) public place or space
暖气	nuǎnqì	(n) heating (lit. warm air)
温度	wēndù	(n) temperature
度	dù	(m) measure word for degrees of temperature, heat, hardness, humidity, etc.
赞成	zànchéng	(v) to approve, to support
出汗	chū hàn	(vo) to sweat
餐具	cānjù	(n) eating utensil, tableware
一次性	yícìxìng	(adj) one-time
砍	kǎn	(v) to cut, to chop
超市	chāoshì	(n) supermarket (short for 超级市场/超級市場)
塑料袋	sùliào dài	(n) plastic bag
减少	jiǎnshǎo	(v) to reduce, to decrease, to lessen
污染	wūrǎn	(v/n) to pollute, to contaminate; pollution, contamination
造成	zào chéng	(vc) to cause, to give rise to
比如	bǐrú	(v) for example
随手	suíshǒu	(adv) without extra effort or motion, conveniently
加油	jiā yóu	(vo) to make an extra effort, to work harder, to refuel
马克	Mǎkè	(pn) Mark
摄氏	Shèshì	(pn) Celsius, centigrade
节俭	jiéjiǎn	(adj) thrifty, frugal
存款	cúnkuǎn	(n/vo) bank savings; to deposit money at a bank
投资	tóu zī	(vo/n) to invest capital; investment (financial) (lit. to throw or cast capital)
理财	lǐcái	(vo) to manage wealth
涨	zhǎng	(v) to rise, to surge, to go up (of water, prices, etc.)
炒股	chǎo gǔ	(vo) to flip stocks
引起	yǐnqǐ	(v) to give rise to, to lead to
思考	sīkǎo	(v/n) to think deeply, to ponder over; contemplation, cogitation
姑妈	gūmā	(n) aunt (father’s sister)
