寒假	hánjià	winter vacation
飞机	fēijī	airplane
飞	fēi	to fly
机	jī	machine
票	piào	ticket
机场	jīchǎng	airport
飞机场	fēijīchǎng	airport
坐	zuò	to travel by
公共汽车	gōnggòng qìchē	bus
公共	gōnggòng	public
汽车	qìchē	automobile
车	chē	vehicle, car
或者	huòzhě	or
地铁	dìtiě	subway
走	zǒu	to go by way of, to walk
先	xiān	first
路	lù	route, road
站	zhàn	(measure word for bus stops, train stops, etc.)
下车	xià chē	to get off (a bus, train, etc.)
然后	ránhòu	then
绿	lǜ	green
线	xiàn	line
最后	zuìhòu	final, last
蓝	lán	blue
麻烦	máfan	troublesome
打车	dǎ chē	to take a taxi
出租汽车	chūzū qìchē	taxi
出租	chūzū	to rent out, to let
租	zū	to rent out, to let
开车	kāi chē	to drive a car
开	kāi	to drive, to operate
送	sòng	to see off or out, to take (someone somewhere)
