电子邮件	diànzǐ yóujiàn	email/electronic mail
电子	diànzǐ	electron
让	ràng	to allow or cause (somebody to do something)
花	huā	to spend
不好意思	bù hǎoyìsi	to feel embarrassed
出去	chū qu	to go out
每	měi	every, each
城市	chéngshì	city
特别	tèbié	especially
高速公路	gāosù gōnglù	highway
高速	gāosù	high speed
公路	gōnglù	highway, public road
路	lù	road, path
紧张	jǐnzhāng	nervous, anxious
自己	zìjǐ	oneself
手机	shǒujī	cell phone
发短信	fā duǎnxìn	to send a text message (lit. to send a short message)
新年	xīnnián	new year
快乐	kuàilè	happy
