加州	Jiāzhōu	California
饭馆	fànguǎn	restaurant
饭馆儿	fànguǎnr	restaurant (儿化)
位子	wèizi	seat
服务员	fúwùyuán	waiter, attendant
服务	fúwù	to serve, to provide service
桌子	zhuōzi	table
点菜	diǎn cài	to order food
盘	pán	plate, dish
饺子	jiǎozi	dumplings
素	sù	vegetarian (lit. plain)
家常	jiācháng	home-style
豆腐	dòufu	tofu, bean curd
放	fàng	to put, to place
肉	ròu	meat
碗	wǎn	bowl
酸辣汤	suānlàtāng	hot-and-sour soup
酸	suān	sour
辣	là	spicy, hot
汤	tāng	soup
味精	wèijīng	monosodium glutamate (MSG)
盐	yán	salt
小白菜	xiǎo báicài	baby bok choy
刚	gāng	just
买完	mǎi wán	to be sold out
完	wán	finished
青菜	qīngcài	green, leafy vegetable
冰茶	bīngchá	iced tea
冰	bīng	ice
渴	kě	thirsty
些	xiē	(measure word for an indefinite amount), some
够	gòu	enough
饿	è	hungry
上菜	shàng cài	to serve food
