中国城	Zhōngguóchéng	Chinatown
城	chéng	town, city
过	guo	(particle used after a verb to indicate a past experience)
地图	dìtú	map
拿	ná	to take, to get
次	cì	(measure word for frequency)
从	cóng	from
一直	yìzhí	straight, continuously
往	wǎng	towards
南	nán	south
路口	lùkǒu	intersection
西	xī	west
拐	guǎi	to turn
哎	āi	(exclamatory particle to express surprise or dissatisfaction)
东	dōng	east
北	běi	north
前	qián	forward, ahead
红绿灯	hónglǜdēng	traffic light
灯	dēng	light
右	yòu	right
左	zuǒ	left
前面	qiánmiàn	ahead, in front of
谷歌	Gǔgē	Google
日文	Rìwén	Japanese (language)
东京	Dōngjīng	Tokyo
日本	Rìběn	Japan
