钟头	zhōngtóu	hour
以为	yǐwéi	to assume erroneously
聪明	cōngming	smart, bright, clever
用功	yònggōng	hardworking, diligent, studious
暑期	shǔqī	summer term
班	bān	class
长	zhǎng	to grow, to appear
可爱	kě'ài	cute, lovable
去年	qùnián	last year
属	shǔ	to belong to
狗	gǒu	dog
脸	liǎn	face
圆	yuán	round
眼睛	yǎnjing	eye
鼻子	bízi	nose
嘴	zuǐ	mouth
像	xiàng	to be like, to look like, to take after
长大	zhǎng dà	to grow up
一定	yídìng	certain, definite; certainly, definitely
蛋糕	dàngāo	cake
最	zuì	most, (of superlative degree) -est
海伦	Hǎilún	Helen
汤姆	Tāngmǔ	Tom
