病人	bìngrén	patient
病	bìng	illness; to get sick
医院	yīyuàn	hospital
看病	kàn bìng	to see a doctor
肚子	dùzi	belly, abdomen, stomach
疼死	téng sǐ	really painful
疼	téng	aching
死	sǐ	to die; (a complement indicating an extreme degree)
夜里	yè li	at night
好几	hǎo jǐ	quite a few
厕所	cèsuǒ	restroom, toilet
把	bǎ	(indicating disposition, arrangement, or settlement of something)
冰箱	bīngxiāng	refrigerator
发烧	fā shāo	to have a fever
躺下	tǎng xia	to lie down
躺	tǎng	to lie, to recline
检查	jiǎnchá	to examine
吃坏	chī huài	to get sick because of bad food
坏	huài	bad
打针	dǎ zhēn	to get an injection
针	zhēn	needle
药	yào	medicine
片	piàn	(measure word for tablets, slices, etc.)
遍	biàn	(measure word for complete courses of an action or instances of an action)
最好	zuìhǎo	had better
小时	xiǎoshí	hour
办法	bànfǎ	method, way (of doing something)
