一房一厅	yì fáng yì tīng	one bedroom and one living room
干净	gānjìng	clean
沙发	shāfā	sofa
饭桌	fànzhuō	dining table
椅子	yǐzi	chair
书桌	shūzhuō	desk
书架	shūjià	bookcase, bookshelf
那里	nàli	there
安静	ānjìng	quiet
房租	fángzū	rent
元	yuán	(measure word for the basic Chinese monetary unit), yuan
美元	Měiyuán	American dollar (USD)
人民币	Rénmínbì	renminbi (RMB, Chinese currency)
人民	Rénmín	the people
币	bì	currency
差不多	chàbuduō	almost, nearly; similar
费	fèi	fee, expenses
押金	yājīn	security deposit
当	dāng	to serve as, to be
还	huán	to return (something)
另外	lìngwài	furthermore, in addition
准	zhǔn	to allow, to be allowed
养	yǎng	to raise
宠物	chǒngwù	pet
兴趣	xìngqù	interest
