上大学	shàng dàxué	to attend college/university
为了	wéile	for the sake of
提高	tígāo	to improve, to raise, to heighten
水平	shuǐpíng	level, standard
足球	zúqiú	soccer, football
比赛	bǐsài	game, match, competition; to compete
国际	guójì	international
美式	Měishì	American-style
应该	yīnggāi	should, ought to
脚	jiǎo	foot
踢	tī	to kick
手	shǒu	hand
抱	bào	to hold or carry in the arms
压	yā	to press, to hold down, to weigh down
被	bèi	by
担心	dān xīn	to worry
棒	bàng	fantastic, super [colloq.]
运动服	yùndòngfú	sportswear, athletic clothing
半天	bàntiān	half a day, a long time
