马上	mǎshàng	immediately, right away
放假	fàng jià	go on vacation, have time off
放	fàng	to let go, to set free
假	jià	vacation, holiday
公司	gōngsī	company
实习	shíxí	to intern
打工	dǎ gōng	to work at a temporary job (often part time)
计划	jìhuà	plan; to plan
暑假	shǔjià	summer vacation
打算	dǎsuàn	to plan; plan
父母	fùmǔ	parents, father and mother
首都	shǒudū	capital city
政治	zhèngzhì	politics
文化	wénhuà	culture
名胜古迹	míngshèng gǔjì	famous scenic spots and historic sites
有名	yǒumíng	famous, well-known
导游	dǎoyóu	tour guide
护照	hùzhào	passport
签证	qiānzhèng	visa
旅行社	lǚxíngshè	travel agency
订	dìng	to reserve, to book (a ticket, a hotel room, etc.)
长城	Chángchéng	the Great Wall
香港	Xiānggǎng	Hong Kong
台北	Táiběi	Taipei
