初	chū	beginning
单程	dānchéng	one-way trip
往返	wǎngfǎn	make a round trip, go there and back
航空	hángkōng	aviation
查	chá	to check, to look into
航班	hángbān	scheduled flight
千	qiān	thousand
直飞	zhí fēi	fly directly
打折	dǎ zhē	to sell at a discount, to give a discount
转机	zhuǎn jī	change planes
靠	kào	to lean on, to lean against, to be next to
窗户	chuānghu	window
走道	zǒudào	aisle
份	fèn	(measure word for meal orders, jobs)
素餐	sùcān	vegetarian meal
旅馆	lǚguǎn	hotel
租	zū	to rent
中国国际航空公司	Zhōngguó Guójì Hángkōng Gōngsī	Air China
西北航空公司	Xīběi Hángkōng Gōngsī	Northwest Airlines
