九月	jiǔyuè	September
月	yuè	month
十二	shí‘èr	twelve
号	hào	(measure word for position in a numerical series, day of the month)
星期	xīngqī	week
星期四	xīngqīsì	Thursday
天	tiān	day
生日	shēngrì	birthday
生	shēng	to give birth to, to be born
日	rì	day, sun
今年	jīnnián	this year
年	nián	year
多	duō	how many/much, to what extent
大	dà	big, old
十八	shíbā	eighteen
岁	suì	year (of age)
吃	chī	to eat
饭	fàn	meal, (cooked) rice
怎么样	zěnmeyàng	Is it OK? How is that? How does that sound?
太…了	tài…le	too, extremely
谢谢	xièxie	to thank
喜欢	xǐhuān	to like
菜	cài	dish, cuisine
还是	háishi	or
可是	kěshì	but
我们	wǒmen	we, us
点	diǎn	o'clock (lit. dot, point, thus "points on the clock")
半	bàn	half, half an hour
晚上	wǎnshang	evening, night
见	jiàn	to see
再见	zàijiàn	goodbye, see you again
再	zài	again
英国	Yīngguó	Britain
