篇	piān	(measure word for essays, articles, etc.)
日记	rìjì	diary
累	léi	tired
起床	qǐ chuáng	to get up
床	chuáng	bed
洗澡	xǐ zǎo	to take a bath/shower
早饭	zǎofàn	breakfast
一边	yìbiān	simultaneously, at the same time
教室	jiàoshì	classroom
发音	fāyīn	pronunciation
新	xīn	new
电脑	diànnǎo	computer
脑	nǎo	brain
中午	zhōngwǔ	noon
餐厅	cāntīng	dining room, cafeteria
午饭	wǔfàn	lunch, midday meal
上网	shàng wǎng	to go online, to surf the internet
宿舍	sùshè	dormitory
那儿	nàr	there
正在	zhèngzài	in the middle of (doing something)
以前	yǐqián	before
告诉	gàosu	to tell
已经	yǐjīng	already
知道	zhīdao	to know
