商店	shāngdiàn	store. shop
买	mǎi	to buy
东西	dōngxi	things, objects
售货员	shòuhuòyuán	shop assistant, salesclerk
衣服	yīfú	clothes
件	jiàn	(measure word for shirts, dresses, jackets, coats, etc.)
衬衫	chènshān	shirt
颜色	yánsè	color
黄	huáng	yellow
红	hóng	red
穿	chuān	to wear, to put on
裤子	kùzi	pants
号	hào	size
中	zhōng	medium, middle
便宜	piányi	cheap, inexpensive
如果	rúguǒ	if
如果…的话	rúguǒ…de huà	if
长短	chángduǎn	length
长	cháng	long
短	duǎn	short
合适	héshì	suitable
试	shì	to try
不用	búyòng	need not
一共	yígòng	altogether
多少	duōshao	how much/many
钱	qián	money
块	kuài	(measure word for the basic Chinese monetary unit) [equivalent of a dollar]
毛	máo	(measure word for 1/10 of a kuai [equivalent of a dime])
分	fēn	(measure word for 1/100 of a kuai [equivalent of a cent])
百	bǎi	hundred
找	zhǎo	to give change
找钱	zhǎo qián	to give change
