网络	wǎngluò	(n) network, the Internet
新闻	xīnwén	(n) news
资料	zīliào	(n) material (reference, academic)
游戏	yóuxì	(n) game
网站	wǎngzhàn	(n) website
博客	bókè	(n) blog
离开	lí kāi	(vc) to leave, to depart from
卡拉OK	kǎlā ōukēi	(n) karaoke
急忙	jímáng	(adv) hastily, in a hurry
下载	xiàzài	(v) to download
软件	ruǎnjiàn	(n) software
结果	jiéguǒ	(conj/n) as a result; result
杂志	zázhì	(n) magazine
垃圾	lājī	(n) garbage, trash
落伍	luòwǔ	(v) to lag behind, to be outdated
可靠	kěkào	(adj) dependable
有用	yǒuyòng	(adj) useful
外卖	wàimài	(n) takeout
衣食住行	yī shí zhù xíng	basic necessities of life (lit. food, clothing, shelter, and transportation)
迟到	chídào	(v) to arrive late
老是	lǎoshì	(adv) always
害	hài	(v) to cause trouble, to harm
敢	gǎn	(mv) to dare
待	dāi	(v) to stay
屋子	wūzi	(n) room
上瘾	shàng yǐn	(vo) to become addicted
严重	yánzhòng	(adj) serious, grave
时代	shídài	(n) era, age
重要	zhòngyào	(adj) important
帮助	bāngzhù	(v/n) to help; help
翻译	fānyì	(v/n) to translate; interpreter, translation
免费	miǎnfèi	(vo) free of charge (lit. exempt from paying the fee)
感觉	gǎnjué	(n/v) feeling, sense perception; to feel, to perceive
