周	zhōu	(n) week
聚会	jùhuì	(v/n) to get together, to congregate; party, get-together, social gathering
庆祝	qìngzhù	(v) to celebrate
接受	jiēshòu	(v) to accept, to take on, to undertake
接风	jiēfēng	(v) to host a welcome meal for a visitor from afar
饯行	jiànxíng	(v) to host a farewell meal
客人	kèren	(n) guest, visitor
火锅	huǒguō	(n) hotpot
聚	jù	(v) to gather, to get together, to congregate
出差	chū chāi	(vo) to be away on business or on a business trip
推销	tuīxiāo	(v) to market, to promote the sale (of goods/merchandise)
电池	diànchí	(n) battery
火	huǒ	(adj/n) thriving, flourishing; fire, flame
校友	xiàoyǒu	(n) schoolmate, alumnus, alumna
关照	guānzhào	(v) to take care of, to look after
同事	tóngshì	(n) colleague, coworker
者	zhě	(suffix) meaning “person”
电视剧	diànshìjù	(n) TV drama, TV series
搞	gǎo	(v) to do, to carry on, to be engaged in
面熟	miànshú	(adj) familiar-looking
流	liú	(n) class, level, rank, category
演员	yǎnyuán	(n) actor, performer
而已	éryǐ	(p) and no more
稳定	wěndìng	(adj/v) stable, steady; to stabilize, to be steady
年轻	niánqīng	(adj) young
永远	yǒngyuǎn	(adv) always, forever
放心	fàng xīn	(vo) to feel relieved, to be at ease
联系	liánxì	(v/n) to contact, to get in touch; connection, relation (lit. to combine and tie)
友谊	yǒuyì	(n) friendship
欧洲	Ōuzhōu	(pn) Europe
