选	xuǎn	(v) to choose
门	mén	(m) (measure word for academic courses)
世界	shìjiè	(n) world
历史	lìshǐ	(n) history
其他	qítā	(pr) other, else
文章	wénzhāng	(n) essay, article
受不了	shòu bu liǎo	(vc) cannot take it, unable to bear
轻松	qīngsōng	(adj) light, relaxed
教授	jiàoshòu	(n) professor
讨论	tǎolùn	(v) to discuss
意见	yìjiàn	(n) opinion
碰见	pèng jiàn	(vc) to run into (a person by chance)
毕业	bì yè	(vo) to graduate
学位	xuéwèi	(n) academic degree
化学	huàxué	(n) chemistry
经济	jīngjì	(n) economics, economy
系	xì	(n) academic department (of a college or university)
学分	xuéfēn	(n) academic credit
决定	juédìng	(v/n) to decide; decision
解决	jiějué	(v) to solve, to resolve
建议	jiànyì	(n/v) suggestion; to suggest
要么…，要么…	yàome . . . , yàome . . .	(conj) if it’s not . . . it’s . . . , either . . . or . . . [See Grammar 5.]
工学院	gōng xuéyuàn	(n) school of engineering
管理学院	guǎnlǐ xuéyuàn	(n) school of management
谈	tán	(v) to talk, to discuss
文学	wénxué	(n) literature
将来	jiānglái	(n) future
挣钱	zhèng qián	(vo) to earn money
金融	jīnróng	(n) finance, banking
整天	zhěng tiān	all day long
数字	shùzì	(n) numeral, figure, digit
打交道	dǎ jiāodào	(vo) to deal with
哲学	zhéxué	(n) philosophy
管	guǎn	(v) to control, to manage, to mind, to care about
申请	shēnqǐng	(v) to apply (to a school or job)
省下来	shěng xia lai	(vc) to save (money, time)
李哲	Lǐ Zhé	(pn) Zhe Li (a personal name)
