受到	shòu dào	(vc) to receive
良好	liánghǎo	(adj) good, fine (literary)
教育	jiàoyù	(n/v) education; to educate
生	shēng	(v) to give birth to, to be born
存	cún	(v) to deposit, to accumulate
收入	shōurù	(n) income
供	gōng	(v) to provide, to support financially
压力	yālì	(n) pressure
大人	dàren	(n) adult
减轻	jiǎnqīng	(v) to lessen
负担	fùdān	(n) burden
适合	shìhé	(v) to suit
影响	yǐngxiǎng	(v/n) to influence, to have an impact; influence
家庭	jiātíng	(n) family, household
取得	qǔdé	(v) to obtain, to gain, to acquire
经验	jīngyàn	(n/v) experience; to experience
零用钱	língyòngqián	(n) pocket money, spending money
奖学金	jiǎngxuéjīn	(n) scholarship money
交	jiāo	(v) to hand over, to turn in
政府	zhèngfǔ	(n) government
贷款	dàikuǎn	(n/vo) loan; to provide a loan
农村	nóngcūn	(n) countryside, village, rural area
工资	gōngzī	(n) wages, pay
低	dī	(adj) low
家教	jiājiào	(n) tutor
遛	liù	(v) to walk (an animal), to stroll
喂	wèi	(v) to feed
猫	māo	(n) cat
读书	dú shū	(vo) to attend school, to study, to read aloud
借	jiè	(v) to borrow, to lend
欠	qiàn	(v) to owe
银行	yínháng	(n) bank
难怪	nánguài	(adv) no wonder
乖	guāi	(adj) obedient, well-behaved (of children)
