像	xiàng	(v) to resemble, to be like
T恤衫	tīxùshān	(n) T-shirt
毛衣	máoyī	(n) woolen sweater
牛仔裤	niúzǎikù	(n) jeans
无论	wúlùn	(conj) regardless of . . . , whether it be . . . [See Grammar 1.]
需要	xūyào	(v/n) to need; needs
卫生纸	wèishēngzhǐ	(n) toilet paper
牙膏	yágāo	(n) toothpaste
毛巾	máojīn	(n) towel
洗衣粉	xǐyīfěn	(n) laundry powder
购物	gòuwù	(vo) to shop
牌子	páizi	(n) brand
价钱	jiàqian	(n) price
纯棉	chúnmián	(adj) pure cotton, one-hundred-percent cotton
名牌	míngpái	(n) famous brand, name brand
时髦	shímáo	(adj) fashionable, stylish
哎呀	āiyā	(interj) gosh, ah (an exclamation to express surprise)
质量	zhìliàng	(n) quality
只好	zhǐhǎo	(adv) to be forced to, to have no choice but
道理	dàoli	(n) reason, sense
非…不可	fēi . . . bù kě	have to, nothing but . . . would do
标准	biāozhǔn	(n/adj) criterion; standard
在乎	zàihu	(v) to mind, to care
同意	tóngyì	(v) to agree
好看	hǎokàn	(adj) nice-looking, attractive
一会儿	yíhuìr	(n+m) in a moment, a little while
现金	xiànjīn	(n) cash
加	jiā	(v) to add
税	shuì	(n) tax
