あの	um...
いま	now
えいご	English (language)
ええ	yes
がくせい	student
～ご	[suffix] language   ex. にほんご (nihongo) Japanese language
こうこう	high school
ごご	P.M.
ごぜん	A.M.
～さい	[suffix] ...years old
～さん	[suffix] Mr./Ms....
～じ	[suffix] o'clock   ex. いちじ (ichiji) one o'clock
～じん	[suffix] people   ex. にほんじん (nihonjin) Japanese people
せんせい	teacher; Professor...
せんもん	major
そうです	That's right
だいがく	college; university
でんわ	telephone
ともだち	friend
なまえ	name
なん	what   ex. 何ですか？
なに	what   ex. 何？
にほん	Japan
～ねんせい	[suffix] ...year student   ex. いちねんせい (ichinensee) first-year student
はい	yes
はん	half   ex. にじはん (nijihan) half past two
ばんごう	number
りゅうがくせい	international student
わたし	I
アメリカ	U.S.A.
イギリス	Britain
オーストラリア	Australia
かんこく	Korea
スウェーデン	Sweden
ちゅうごく	China
かがく	science
アジアけんきゅう	Asian studies
けいざい	economics
こくさいかんけい	international relations
コンピューター	computer
じんるいがく	anthropology
せいじ	politics
ビジネス	business
ぶんがく	literature
れきし	history
しごと	job; work; occupation
いしゃ	doctor
かいしゃいん	office worker
こうこうせい	high school student
しゅふ	housewife
だいがくいんせい	graduate student
だいがくせい	college student
べんごし	lawyer
おかあさん	mother
おとうさん	father
おねえさん	older sister
おにいさん	older brother
いもうと	younger sister
おとうと	younger brother
